ParameterName, q0_min, q0_max, q3_min, q3_max
q0_q3_bin_1, 0.00, 0.05, 0.00, 0.05
q0_q3_bin_2, 0.00, 0.05, 0.05, 0.10
q0_q3_bin_3, 0.00, 0.05, 0.10, 0.15
q0_q3_bin_4, 0.00, 0.05, 0.15, 0.20
q0_q3_bin_5, 0.00, 0.05, 0.20, 0.25
q0_q3_bin_6, 0.00, 0.05, 0.25, 0.30
q0_q3_bin_7, 0.00, 0.05, 0.30, 0.35
q0_q3_bin_8, 0.00, 0.05, 0.35, 0.40
q0_q3_bin_9, 0.00, 0.05, 0.40, 0.45
q0_q3_bin_10, 0.00, 0.05, 0.45, 0.50
q0_q3_bin_11, 0.00, 0.05, 0.50, 0.55
q0_q3_bin_12, 0.00, 0.05, 0.55, 0.60
q0_q3_bin_13, 0.00, 0.05, 0.60, 0.65
q0_q3_bin_14, 0.00, 0.05, 0.65, 0.70
q0_q3_bin_15, 0.00, 0.05, 0.70, 0.75
q0_q3_bin_16, 0.00, 0.05, 0.75, 0.80
q0_q3_bin_17, 0.00, 0.05, 0.80, 0.85
q0_q3_bin_18, 0.00, 0.05, 0.85, 0.90
q0_q3_bin_19, 0.00, 0.05, 0.90, 0.95
q0_q3_bin_20, 0.00, 0.05, 0.95, 1.00
q0_q3_bin_21, 0.00, 0.05, 1.00, 1.05
q0_q3_bin_22, 0.00, 0.05, 1.05, 1.10
q0_q3_bin_23, 0.00, 0.05, 1.10, 1.15
q0_q3_bin_24, 0.00, 0.05, 1.15, 1.20
q0_q3_bin_25, 0.00, 0.05, 1.20, 1.25
q0_q3_bin_26, 0.00, 0.05, 1.25, 1.30
q0_q3_bin_27, 0.00, 0.05, 1.30, 1.35
q0_q3_bin_28, 0.00, 0.05, 1.35, 1.40
q0_q3_bin_29, 0.00, 0.05, 1.40, 1.45
q0_q3_bin_30, 0.00, 0.05, 1.45, 1.50
q0_q3_bin_31, 0.00, 0.05, 1.50, 1.55
q0_q3_bin_32, 0.00, 0.05, 1.55, 1.60
q0_q3_bin_33, 0.00, 0.05, 1.60, 1.65
q0_q3_bin_34, 0.00, 0.05, 1.65, 1.70
q0_q3_bin_35, 0.00, 0.05, 1.70, 1.75
q0_q3_bin_36, 0.00, 0.05, 1.75, 1.80
q0_q3_bin_37, 0.00, 0.05, 1.80, 1.85
q0_q3_bin_38, 0.00, 0.05, 1.85, 1.90
q0_q3_bin_39, 0.00, 0.05, 1.90, 1.95
q0_q3_bin_40, 0.00, 0.05, 1.95, 2.00
q0_q3_bin_41, 0.00, 0.05, 2.00, 2.05
q0_q3_bin_42, 0.00, 0.05, 2.05, 2.10
q0_q3_bin_43, 0.00, 0.05, 2.10, 2.15
q0_q3_bin_44, 0.00, 0.05, 2.15, 2.20
q0_q3_bin_45, 0.00, 0.05, 2.20, 2.25
q0_q3_bin_46, 0.00, 0.05, 2.25, 2.30
q0_q3_bin_47, 0.00, 0.05, 2.30, 2.35
q0_q3_bin_48, 0.00, 0.05, 2.35, 2.40
q0_q3_bin_49, 0.00, 0.05, 2.40, 2.45
q0_q3_bin_50, 0.00, 0.05, 2.45, 2.50
q0_q3_bin_51, 0.00, 0.05, 2.50, 2.55
q0_q3_bin_52, 0.00, 0.05, 2.55, 2.60
q0_q3_bin_53, 0.00, 0.05, 2.60, 2.65
q0_q3_bin_54, 0.00, 0.05, 2.65, 2.70
q0_q3_bin_55, 0.00, 0.05, 2.70, 2.75
q0_q3_bin_56, 0.00, 0.05, 2.75, 2.80
q0_q3_bin_57, 0.00, 0.05, 2.80, 2.85
q0_q3_bin_58, 0.00, 0.05, 2.85, 2.90
q0_q3_bin_59, 0.00, 0.05, 2.90, 2.95
q0_q3_bin_60, 0.00, 0.05, 2.95, 3.00
q0_q3_bin_61, 0.00, 0.05, 3.00, 3.05
q0_q3_bin_62, 0.00, 0.05, 3.05, 3.10
q0_q3_bin_63, 0.00, 0.05, 3.10, 3.15
q0_q3_bin_64, 0.00, 0.05, 3.15, 3.20
q0_q3_bin_65, 0.00, 0.05, 3.20, 3.25
q0_q3_bin_66, 0.00, 0.05, 3.25, 3.30
q0_q3_bin_67, 0.00, 0.05, 3.30, 3.35
q0_q3_bin_68, 0.00, 0.05, 3.35, 3.40
q0_q3_bin_69, 0.00, 0.05, 3.40, 3.45
q0_q3_bin_70, 0.00, 0.05, 3.45, 3.50
q0_q3_bin_71, 0.00, 0.05, 3.50, 3.55
q0_q3_bin_72, 0.00, 0.05, 3.55, 3.60
q0_q3_bin_73, 0.00, 0.05, 3.60, 3.65
q0_q3_bin_74, 0.00, 0.05, 3.65, 3.70
q0_q3_bin_75, 0.00, 0.05, 3.70, 3.75
q0_q3_bin_76, 0.00, 0.05, 3.75, 3.80
q0_q3_bin_77, 0.00, 0.05, 3.80, 3.85
q0_q3_bin_78, 0.00, 0.05, 3.85, 3.90
q0_q3_bin_79, 0.00, 0.05, 3.90, 4.40
q0_q3_bin_80, 0.00, 0.05, 4.40, 4.90
q0_q3_bin_81, 0.00, 0.05, 4.90, 5.00
q0_q3_bin_82, 0.05, 0.10, 0.05, 0.10
q0_q3_bin_83, 0.05, 0.10, 0.10, 0.15
q0_q3_bin_84, 0.05, 0.10, 0.15, 0.20
q0_q3_bin_85, 0.05, 0.10, 0.20, 0.25
q0_q3_bin_86, 0.05, 0.10, 0.25, 0.30
q0_q3_bin_87, 0.05, 0.10, 0.30, 0.35
