ParameterName, ene_min, ene_max, erec_minus_ene_min, erec_minus_ene_max
enu_erec_minus_enu_1, 0.0, 0.9184172, -1.00000000e+00, -6.82740596e-01
enu_erec_minus_enu_2, 0.0, 0.9184172, -6.82740596e-01, -6.05276014e-01
enu_erec_minus_enu_3, 0.0, 0.9184172, -6.05276014e-01, -5.55442110e-01
enu_erec_minus_enu_4, 0.0, 0.9184172, -5.55442110e-01, -5.17943332e-01
enu_erec_minus_enu_5, 0.0, 0.9184172, -5.17943332e-01, -4.87845628e-01
enu_erec_minus_enu_6, 0.0, 0.9184172, -4.87845628e-01, -4.62681974e-01
enu_erec_minus_enu_7, 0.0, 0.9184172, -4.62681974e-01, -4.41465559e-01
enu_erec_minus_enu_8, 0.0, 0.9184172, -4.41465559e-01, -4.22222765e-01
enu_erec_minus_enu_9, 0.0, 0.9184172, -4.22222765e-01, -4.05446996e-01
enu_erec_minus_enu_10, 0.0, 0.9184172, -4.05446996e-01, -3.90151441e-01
enu_erec_minus_enu_11, 0.0, 0.9184172, -3.90151441e-01, -3.76336102e-01
enu_erec_minus_enu_12, 0.0, 0.9184172, -3.76336102e-01, -3.63507572e-01
enu_erec_minus_enu_13, 0.0, 0.9184172, -3.63507572e-01, -3.52159257e-01
enu_erec_minus_enu_14, 0.0, 0.9184172, -3.52159257e-01, -3.41304348e-01
enu_erec_minus_enu_15, 0.0, 0.9184172, -3.41304348e-01, -3.30942843e-01
enu_erec_minus_enu_16, 0.0, 0.9184172, -3.30942843e-01, -3.21568149e-01
enu_erec_minus_enu_17, 0.0, 0.9184172, -3.21568149e-01, -3.12193454e-01
enu_erec_minus_enu_18, 0.0, 0.9184172, -3.12193454e-01, -3.03805569e-01
enu_erec_minus_enu_19, 0.0, 0.9184172, -3.03805569e-01, -2.95911089e-01
enu_erec_minus_enu_20, 0.0, 0.9184172, -2.95911089e-01, -2.88016610e-01
enu_erec_minus_enu_21, 0.0, 0.9184172, -2.88016610e-01, -2.81108940e-01
enu_erec_minus_enu_22, 0.0, 0.9184172, -2.81108940e-01, -2.73707865e-01
enu_erec_minus_enu_23, 0.0, 0.9184172, -2.73707865e-01, -2.67293600e-01
enu_erec_minus_enu_24, 0.0, 0.9184172, -2.67293600e-01, -2.60879336e-01
enu_erec_minus_enu_25, 0.0, 0.9184172, -2.60879336e-01, -2.54465071e-01
enu_erec_minus_enu_26, 0.0, 0.9184172, -2.54465071e-01, -2.48544211e-01
